VOTACION;ETIQUETA_ZONA;PROVINCIA;ETIQUETA_CAND;ETIQUETA_AGRUP;ETIQUETA_BLOQUE;VOTOS;totalMesas;votosNulos;mesasescrutadas;votosEmitidos;votosValidos;votosBlancos;concurrencia;electores
INT;Jáchal;San Juan;;Desarrollo Y Unidad - Lista 02;Desarrollo y Libertad;119;65;152;9692;15232;14699;367;7885;19931
INT;Jáchal;San Juan;;Evolucion Liberal;Unidos por San Juan;115;65;152;9692;15232;14699;367;7885;19931
INT;Jáchal;San Juan;;Desarrollo Y Unidad - Lista 03;Desarrollo y Libertad;45;65;152;9692;15232;14699;367;7885;19931
INT;Jáchal;San Juan;;San Juan al Futuro;Unidos por San Juan;41;65;152;9692;15232;14699;367;7885;19931
INT;Jáchal;San Juan;;Unidad;Frente de Izquierda y de los Trabajadores;27;65;152;9692;15232;14699;367;7885;19931
GOB;Nueve de Julio;San Juan;Marcelo ORREGO;Cambia San Juan;Unidos por San Juan;3447;28;54;10000;6709;6611;44;7171;9360
GOB;Nueve de Julio;San Juan;José Rubén UÑAC;Vamos San Juan;San Juan por Todos;1625;28;54;10000;6709;6611;44;7171;9360
GOB;Nueve de Julio;San Juan;José Luis GIOJA;San Juan Vuelve ;San Juan por Todos;1232;28;54;10000;6709;6611;44;7171;9360
GOB;Nueve de Julio;San Juan;Agustín RAMIREZ;Desarrollo y Unidad;Desarrollo y Libertad;123;28;54;10000;6709;6611;44;7171;9360
GOB;Nueve de Julio;San Juan;Marcelo ARANCIBIA;Juntos;Unidos por San Juan;43;28;54;10000;6709;6611;44;7171;9360
GOB;Nueve de Julio;San Juan;Paola MIERS;Rugido de Libertad;Desarrollo y Libertad;42;28;54;10000;6709;6611;44;7171;9360
GOB;Nueve de Julio;San Juan;Sergio VALLEJOS;Evolución Liberal;Unidos por San Juan;39;28;54;10000;6709;6611;44;7171;9360
GOB;Nueve de Julio;San Juan;Yolanda AGÜERO;Libertarios;Desarrollo y Libertad;26;28;54;10000;6709;6611;44;7171;9360
GOB;Nueve de Julio;San Juan;Cristian JURADO;Frente de Izquierda y de los Trabajadores;Frente de Izquierda y de los Trabajadores;25;28;54;10000;6709;6611;44;7171;9360
GOB;Nueve de Julio;San Juan;Eduardo CÁCERES;San Juan al Futuro;Unidos por San Juan;9;28;54;10000;6709;6611;44;7171;9360
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 19;Unidos por San Juan;1523;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Vamos San Juan - Lista 08;San Juan por Todos;1374;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Vamos San Juan - Lista 10;San Juan por Todos;827;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Vamos San Juan - Lista 09;San Juan por Todos;523;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Evolucion Liberal;Unidos por San Juan;276;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 16;Unidos por San Juan;179;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;San Juan Vuelve - Lista 06;San Juan por Todos;145;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 13;Unidos por San Juan;126;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Vamos San Juan - Lista 07;San Juan por Todos;121;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 17;Unidos por San Juan;118;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;San Juan Vuelve - Lista 03;San Juan por Todos;115;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 12;Unidos por San Juan;106;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;San Juan Vuelve - Lista 04;San Juan por Todos;90;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Desarrollo Y Unidad;Desarrollo y Libertad;86;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 18;Unidos por San Juan;78;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 11;Unidos por San Juan;74;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 20;Unidos por San Juan;71;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 22;Unidos por San Juan;66;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 14;Unidos por San Juan;65;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 21;Unidos por San Juan;56;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Cambia San Juan - Lista 15;Unidos por San Juan;52;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;San Juan Vuelve - Lista 05;San Juan por Todos;42;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Unidad;Frente de Izquierda y de los Trabajadores;33;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;Juntos;Unidos por San Juan;31;29;18;8621;6355;6193;142;7752;9510
INT;Nueve de Julio;San Juan;;San Juan al Futuro;Unidos por San Juan;15;29;18;8621;6355;6193;142;7752;9510
GOB;Pocito;San Juan;Marcelo ORREGO;Cambia San Juan;Unidos por San Juan;14438;143;513;9930;35326;34514;299;7267;48969
GOB;Pocito;San Juan;José Luis GIOJA;San Juan Vuelve ;San Juan por Todos;9981;143;513;9930;35326;34514;299;7267;48969
GOB;Pocito;San Juan;José Rubén UÑAC;Vamos San Juan;San Juan por Todos;7253;143;513;9930;35326;34514;299;7267;48969
GOB;Pocito;San Juan;Agustín RAMIREZ;Desarrollo y Unidad;Desarrollo y Libertad;808;143;513;9930;35326;34514;299;7267;48969
GOB;Pocito;San Juan;Paola MIERS;Rugido de Libertad;Desarrollo y Libertad;633;143;513;9930;35326;34514;299;7267;48969
GOB;Pocito;San Juan;Yolanda AGÜERO;Libertarios;Desarrollo y Libertad;489;143;513;9930;35326;34514;299;7267;48969
GOB;Pocito;San Juan;Cristian JURADO;Frente de Izquierda y de los Trabajadores;Frente de Izquierda y de los Trabajadores;269;143;513;9930;35326;34514;299;7267;48969
GOB;Pocito;San Juan;Marcelo ARANCIBIA;Juntos;Unidos por San Juan;266;143;513;9930;35326;34514;299;7267;48969
GOB;Pocito;San Juan;Sergio VALLEJOS;Evolución Liberal;Unidos por San Juan;210;143;513;9930;35326;34514;299;7267;48969
GOB;Pocito;San Juan;Eduardo CÁCERES;San Juan al Futuro;Unidos por San Juan;167;143;513;9930;35326;34514;299;7267;48969
INT;Pocito;San Juan;;Vamos San Juan - Lista 10;San Juan por Todos;8653;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Cambia San Juan - Lista 15;Unidos por San Juan;4698;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;San Juan Vuelve - Lista 06;San Juan por Todos;2076;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Vamos San Juan - Lista 14;San Juan por Todos;2074;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;San Juan Vuelve - Lista 08;San Juan por Todos;1583;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Cambia San Juan - Lista 16;Unidos por San Juan;1237;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;El Rugido De La Libertad;Desarrollo y Libertad;1092;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Cambia San Juan - Lista 17;Unidos por San Juan;1031;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;San Juan Vuelve - Lista 07;San Juan por Todos;997;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;San Juan Vuelve - Lista 09;San Juan por Todos;946;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Desarrollo Y Unidad - Lista 03;Desarrollo y Libertad;930;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Vamos San Juan - Lista 13;San Juan por Todos;822;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;San Juan al Futuro;Unidos por San Juan;721;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Vamos San Juan - Lista 11;San Juan por Todos;683;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Vamos San Juan - Lista 12;San Juan por Todos;658;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Libertarios;Desarrollo y Libertad;535;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Desarrollo Y Unidad - Lista 02;Desarrollo y Libertad;527;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Unidad;Frente de Izquierda y de los Trabajadores;330;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Juntos;Unidos por San Juan;307;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Evolucion Liberal - Lista 19;Unidos por San Juan;268;144;378;8750;31365;30340;626;7298;49119
INT;Pocito;San Juan;;Evolucion Liberal - Lista 18;Unidos por San Juan;172;144;378;8750;31365;30340;626;7298;49119
GOB;Rawson;San Juan;Marcelo ORREGO;Cambia San Juan;Unidos por San Juan;32714;289;985;9896;71843;70446;412;7291;99650
GOB;Rawson;San Juan;José Luis GIOJA;San Juan Vuelve ;San Juan por Todos;22909;289;985;9896;71843;70446;412;7291;99650
GOB;Rawson;San Juan;José Rubén UÑAC;Vamos San Juan;San Juan por Todos;9590;289;985;9896;71843;70446;412;7291;99650
GOB;Rawson;San Juan;Agustín RAMIREZ;Desarrollo y Unidad;Desarrollo y Libertad;1549;289;985;9896;71843;70446;412;7291;99650
GOB;Rawson;San Juan;Paola MIERS;Rugido de Libertad;Desarrollo y Libertad;1162;289;985;9896;71843;70446;412;7291;99650
GOB;Rawson;San Juan;Cristian JURADO;Frente de Izquierda y de los Trabajadores;Frente de Izquierda y de los Trabajadores;644;289;985;9896;71843;70446;412;7291;99650
GOB;Rawson;San Juan;Yolanda AGÜERO;Libertarios;Desarrollo y Libertad;629;289;985;9896;71843;70446;412;7291;99650
GOB;Rawson;San Juan;Marcelo ARANCIBIA;Juntos;Unidos por San Juan;625;289;985;9896;71843;70446;412;7291;99650
GOB;Rawson;San Juan;Sergio VALLEJOS;Evolución Liberal;Unidos por San Juan;357;289;985;9896;71843;70446;412;7291;99650
GOB;Rawson;San Juan;Eduardo CÁCERES;San Juan al Futuro;Unidos por San Juan;267;289;985;9896;71843;70446;412;7291;99650
INT;Rawson;San Juan;;Vamos San Juan - Lista 18;San Juan por Todos;9207;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;San Juan Vuelve - Lista 08;San Juan por Todos;7261;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Vamos San Juan - Lista 17;San Juan por Todos;5339;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;San Juan Vuelve - Lista 11;San Juan por Todos;4731;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Cambia San Juan - Lista 20;Unidos por San Juan;3903;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Cambia San Juan - Lista 21;Unidos por San Juan;3840;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Vamos San Juan - Lista 13;San Juan por Todos;3109;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Cambia San Juan - Lista 24;Unidos por San Juan;2467;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Vamos San Juan - Lista 15;San Juan por Todos;2150;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Cambia San Juan - Lista 22;Unidos por San Juan;2045;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Cambia San Juan - Lista 23;Unidos por San Juan;1883;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;El Rugido De La Libertad;Desarrollo y Libertad;1817;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Cambia San Juan - Lista 25;Unidos por San Juan;1759;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Vamos San Juan - Lista 16;San Juan por Todos;1665;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Desarrollo Y Unidad - Lista 02;Desarrollo y Libertad;1497;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Libertarios;Desarrollo y Libertad;1265;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Vamos San Juan - Lista 14;San Juan por Todos;1172;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;San Juan Vuelve - Lista 10;San Juan por Todos;988;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;San Juan Vuelve - Lista 12;San Juan por Todos;939;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Vamos San Juan - Lista 19;San Juan por Todos;868;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Evolucion Liberal - Lista 26;Unidos por San Juan;683;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;San Juan Vuelve - Lista 07;San Juan por Todos;646;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Desarrollo Y Unidad - Lista 04;Desarrollo y Libertad;631;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Unidad;Frente de Izquierda y de los Trabajadores;625;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Desarrollo Y Unidad - Lista 03;Desarrollo y Libertad;611;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Juntos;Unidos por San Juan;563;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;San Juan Vuelve - Lista 09;San Juan por Todos;371;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;Evolucion Liberal - Lista 27;Unidos por San Juan;361;289;775;9239;64396;62756;830;6995;99650
INT;Rawson;San Juan;;San Juan al Futuro;Unidos por San Juan;360;289;775;9239;64396;62756;830;6995;99650
GOB;Rivadavia;San Juan;Marcelo ORREGO;Cambia San Juan;Unidos por San Juan;29512;218;694;9771;54971;53986;291;7520;74863
GOB;Rivadavia;San Juan;José Luis GIOJA;San Juan Vuelve ;San Juan por Todos;13284;218;694;9771;54971;53986;291;7520;74863
GOB;Rivadavia;San Juan;José Rubén UÑAC;Vamos San Juan;San Juan por Todos;7304;218;694;9771;54971;53986;291;7520;74863
GOB;Rivadavia;San Juan;Agustín RAMIREZ;Desarrollo y Unidad;Desarrollo y Libertad;991;218;694;9771;54971;53986;291;7520;74863
GOB;Rivadavia;San Juan;Paola MIERS;Rugido de Libertad;Desarrollo y Libertad;810;218;694;9771;54971;53986;291;7520;74863
GOB;Rivadavia;San Juan;Marcelo ARANCIBIA;Juntos;Unidos por San Juan;602;218;694;9771;54971;53986;291;7520;74863
GOB;Rivadavia;San Juan;Cristian JURADO;Frente de Izquierda y de los Trabajadores;Frente de Izquierda y de los Trabajadores;521;218;694;9771;54971;53986;291;7520;74863
GOB;Rivadavia;San Juan;Yolanda AGÜERO;Libertarios;Desarrollo y Libertad;475;218;694;9771;54971;53986;291;7520;74863
GOB;Rivadavia;San Juan;Sergio VALLEJOS;Evolución Liberal;Unidos por San Juan;245;218;694;9771;54971;53986;291;7520;74863
GOB;Rivadavia;San Juan;Eduardo CÁCERES;San Juan al Futuro;Unidos por San Juan;242;218;694;9771;54971;53986;291;7520;74863
INT;Rivadavia;San Juan;;Cambia San Juan - Lista 16;Unidos por San Juan;9396;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Cambia San Juan - Lista 17;Unidos por San Juan;5622;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;San Juan Vuelve - Lista 08;San Juan por Todos;4932;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Vamos San Juan - Lista 12;San Juan por Todos;4738;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Cambia San Juan - Lista 13;Unidos por San Juan;3218;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Cambia San Juan - Lista 15;Unidos por San Juan;3070;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Vamos San Juan - Lista 10;San Juan por Todos;2962;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Vamos San Juan - Lista 09;San Juan por Todos;1776;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;El Rugido De La Libertad;Desarrollo y Libertad;1407;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;San Juan Vuelve - Lista 06;San Juan por Todos;1211;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;San Juan Vuelve - Lista 07;San Juan por Todos;1156;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Cambia San Juan - Lista 14;Unidos por San Juan;1088;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Vamos San Juan - Lista 11;San Juan por Todos;960;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Desarrollo Y Unidad - Lista 03;Desarrollo y Libertad;861;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Desarrollo Y Unidad - Lista 02;Desarrollo y Libertad;690;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Unidad;Frente de Izquierda y de los Trabajadores;540;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Juntos;Unidos por San Juan;476;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Libertarios;Desarrollo y Libertad;449;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;San Juan al Futuro;Unidos por San Juan;437;219;713;8493;46853;45375;689;7354;75013
INT;Rivadavia;San Juan;;Evolucion Liberal;Unidos por San Juan;386;219;713;8493;46853;45375;689;7354;75013
GOB;San Martin;San Juan;José Rubén UÑAC;Vamos San Juan;San Juan por Todos;3640;31;67;10000;8080;7930;83;7844;10303
GOB;San Martin;San Juan;Marcelo ORREGO;Cambia San Juan;Unidos por San Juan;2625;31;67;10000;8080;7930;83;7844;10303
GOB;San Martin;San Juan;José Luis GIOJA;San Juan Vuelve ;San Juan por Todos;1372;31;67;10000;8080;7930;83;7844;10303
GOB;San Martin;San Juan;Agustín RAMIREZ;Desarrollo y Unidad;Desarrollo y Libertad;71;31;67;10000;8080;7930;83;7844;10303
GOB;San Martin;San Juan;Paola MIERS;Rugido de Libertad;Desarrollo y Libertad;65;31;67;10000;8080;7930;83;7844;10303
GOB;San Martin;San Juan;Cristian JURADO;Frente de Izquierda y de los Trabajadores;Frente de Izquierda y de los Trabajadores;43;31;67;10000;8080;7930;83;7844;10303
GOB;San Martin;San Juan;Yolanda AGÜERO;Libertarios;Desarrollo y Libertad;39;31;67;10000;8080;7930;83;7844;10303
GOB;San Martin;San Juan;Marcelo ARANCIBIA;Juntos;Unidos por San Juan;34;31;67;10000;8080;7930;83;7844;10303
GOB;San Martin;San Juan;Sergio VALLEJOS;Evolución Liberal;Unidos por San Juan;23;31;67;10000;8080;7930;83;7844;10303
GOB;San Martin;San Juan;Eduardo CÁCERES;San Juan al Futuro;Unidos por San Juan;18;31;67;10000;8080;7930;83;7844;10303
INT;San Martin;San Juan;;Vamos San Juan - Lista 06;San Juan por Todos;2405;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;Vamos San Juan - Lista 07;San Juan por Todos;1862;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;Vamos San Juan - Lista 09;San Juan por Todos;669;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;Vamos San Juan - Lista 05;San Juan por Todos;624;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;Vamos San Juan - Lista 08;San Juan por Todos;448;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;Cambia San Juan - Lista 12;Unidos por San Juan;402;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;San Juan Vuelve - Lista 03;San Juan por Todos;318;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;Cambia San Juan - Lista 10;Unidos por San Juan;285;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;Cambia San Juan - Lista 11;Unidos por San Juan;222;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;San Juan Vuelve - Lista 04;San Juan por Todos;161;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;San Juan Vuelve - Lista 02;San Juan por Todos;94;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;Desarrollo Y Unidad;Desarrollo y Libertad;73;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;Juntos;Unidos por San Juan;20;32;43;9375;7867;7593;223;8028;10453
INT;San Martin;San Juan;;San Juan al Futuro;Unidos por San Juan;10;32;43;9375;7867;7593;223;8028;10453
GOB;Santa Lucía;San Juan;Marcelo ORREGO;Cambia San Juan;Unidos por San Juan;21045;130;448;9846;33275;32600;227;7554;44764
GOB;Santa Lucía;San Juan;José Luis GIOJA;San Juan Vuelve ;San Juan por Todos;5919;130;448;9846;33275;32600;227;7554;44764
GOB;Santa Lucía;San Juan;José Rubén UÑAC;Vamos San Juan;San Juan por Todos;4120;130;448;9846;33275;32600;227;7554;44764
GOB;Santa Lucía;San Juan;Agustín RAMIREZ;Desarrollo y Unidad;Desarrollo y Libertad;391;130;448;9846;33275;32600;227;7554;44764
GOB;Santa Lucía;San Juan;Paola MIERS;Rugido de Libertad;Desarrollo y Libertad;281;130;448;9846;33275;32600;227;7554;44764
GOB;Santa Lucía;San Juan;Marcelo ARANCIBIA;Juntos;Unidos por San Juan;275;130;448;9846;33275;32600;227;7554;44764
GOB;Santa Lucía;San Juan;Cristian JURADO;Frente de Izquierda y de los Trabajadores;Frente de Izquierda y de los Trabajadores;218;130;448;9846;33275;32600;227;7554;44764
GOB;Santa Lucía;San Juan;Yolanda AGÜERO;Libertarios;Desarrollo y Libertad;134;130;448;9846;33275;32600;227;7554;44764
GOB;Santa Lucía;San Juan;Sergio VALLEJOS;Evolución Liberal;Unidos por San Juan;119;130;448;9846;33275;32600;227;7554;44764
GOB;Santa Lucía;San Juan;Eduardo CÁCERES;San Juan al Futuro;Unidos por San Juan;98;130;448;9846;33275;32600;227;7554;44764
INT;Santa Lucía;San Juan;;Cambia San Juan - Lista 16;Unidos por San Juan;13988;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Vamos San Juan - Lista 13;San Juan por Todos;5125;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Cambia San Juan - Lista 15;Unidos por San Juan;2185;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;San Juan Vuelve - Lista 06;San Juan por Todos;1598;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Vamos San Juan - Lista 14;San Juan por Todos;633;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;El Rugido De La Libertad;Desarrollo y Libertad;625;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;San Juan Vuelve - Lista 08;San Juan por Todos;530;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Vamos San Juan - Lista 11;San Juan por Todos;493;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Desarrollo Y Unidad - Lista 03;Desarrollo y Libertad;435;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Juntos;Unidos por San Juan;428;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Vamos San Juan - Lista 12;San Juan por Todos;413;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Vamos San Juan - Lista 09;San Juan por Todos;346;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;San Juan Vuelve - Lista 07;San Juan por Todos;338;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Evolucion Liberal;Unidos por San Juan;316;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Libertarios;Desarrollo y Libertad;278;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Unidad;Frente de Izquierda y de los Trabajadores;253;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Vamos San Juan - Lista 10;San Juan por Todos;236;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;Desarrollo Y Unidad - Lista 02;Desarrollo y Libertad;194;130;403;8923;29406;28568;405;7362;44764
INT;Santa Lucía;San Juan;;San Juan al Futuro;Unidos por San Juan;154;130;403;8923;29406;28568;405;7362;44764
GOB;Sarmiento;San Juan;Marcelo ORREGO;Cambia San Juan;Unidos por San Juan;9028;60;152;10000;13871;13611;108;7161;19371
GOB;Sarmiento;San Juan;José Rubén UÑAC;Vamos San Juan;San Juan por Todos;2091;60;152;10000;13871;13611;108;7161;19371
GOB;Sarmiento;San Juan;José Luis GIOJA;San Juan Vuelve ;San Juan por Todos;2014;60;152;10000;13871;13611;108;7161;19371
GOB;Sarmiento;San Juan;Agustín RAMIREZ;Desarrollo y Unidad;Desarrollo y Libertad;183;60;152;10000;13871;13611;108;7161;19371
GOB;Sarmiento;San Juan;Paola MIERS;Rugido de Libertad;Desarrollo y Libertad;88;60;152;10000;13871;13611;108;7161;19371
GOB;Sarmiento;San Juan;Marcelo ARANCIBIA;Juntos;Unidos por San Juan;56;60;152;10000;13871;13611;108;7161;19371
GOB;Sarmiento;San Juan;Yolanda AGÜERO;Libertarios;Desarrollo y Libertad;47;60;152;10000;13871;13611;108;7161;19371
GOB;Sarmiento;San Juan;Eduardo CÁCERES;San Juan al Futuro;Unidos por San Juan;39;60;152;10000;13871;13611;108;7161;19371
GOB;Sarmiento;San Juan;Sergio VALLEJOS;Evolución Liberal;Unidos por San Juan;37;60;152;10000;13871;13611;108;7161;19371
GOB;Sarmiento;San Juan;Cristian JURADO;Frente de Izquierda y de los Trabajadores;Frente de Izquierda y de los Trabajadores;28;60;152;10000;13871;13611;108;7161;19371
INT;Sarmiento;San Juan;;Cambia San Juan - Lista 15;Unidos por San Juan;4860;61;118;9672;14672;14334;211;7771;19521
INT;Sarmiento;San Juan;;Vamos San Juan - Lista 10;San Juan por Todos;2592;61;118;9672;14672;14334;211;7771;19521
INT;Sarmiento;San Juan;;Vamos San Juan - Lista 12;San Juan por Todos;1016;61;118;9672;14672;14334;211;7771;19521
INT;Sarmiento;San Juan;;San Juan Vuelve - Lista 05;San Juan por Todos;933;61;118;9672;14672;14334;211;7771;19521
INT;Sarmiento;San Juan;;Cambia San Juan - Lista 17;Unidos por San Juan;865;61;118;9672;14672;14334;211;7771;19521
INT;Sarmiento;San Juan;;Vamos San Juan - Lista 09;San Juan por Todos;795;61;118;9672;14672;14334;211;7771;19521
INT;Sarmiento;San Juan;;Cambia San Juan - Lista 18;Unidos por San Juan;546;61;118;9672;14672;14334;211;7771;19521
